date,dailyreturn
2021-10-29,1.03
2021-11-01,-0.58
2021-11-02,-0.91
2021-11-03,0.91
2021-11-04,0.52
2021-11-05,-0.07
2021-11-08,0.77
2021-11-09,0.57
2021-11-10,0.20
2021-11-11,0.12
2021-11-12,-0.60
2021-11-15,-0.53
2021-11-16,0.53
2021-11-17,0.37
2021-11-18,-0.59
2021-11-19,1.26
2021-11-22,0.05
2021-11-23,-0.68
2021-11-24,0.08
2021-11-25,0.24
2021-11-26,-2.06
2021-11-29,0.71
2021-11-30,-1.13
2021-12-01,-0.40
2021-12-02,1.17
2021-12-03,-0.69
2021-12-06,0.13
2021-12-07,0.85
2021-12-08,0.02
2021-12-09,0.61
2021-12-10,0.14
2021-12-13,0.15
2021-12-14,-0.71
2021-12-15,0.16
2021-12-16,-0.47
2021-12-17,0.11
2021-12-20,-0.83
2021-12-21,0.11
2021-12-22,-0.38
2021-12-23,0.40
2021-12-24,0.11
2021-12-27,0.19
2021-12-28,0.35
2021-12-29,0.04
2021-12-30,-0.29
2022-01-03,1.27
2022-01-04,0.45
2022-01-05,-0.49
2022-01-06,-0.13
2022-01-07,0.72
2022-01-10,-0.15
2022-01-11,-0.64
2022-01-12,-0.01
2022-01-13,0.17
2022-01-14,0.53
2022-01-17,-0.72
2022-01-18,-0.47
2022-01-19,-0.33
2022-01-20,0.53
2022-01-21,1.50
2022-01-24,-1.06
2022-01-25,-1.31
2022-01-26,0.50
2022-01-27,0.16
2022-01-28,0.52
2022-01-31,-0.22
2022-02-02,1.15
2022-02-03,-0.35
2022-02-04,0.71
2022-02-07,1.09
2022-02-08,-0.23
2022-02-09,0.66
2022-02-10,-0.16
2022-02-11,-0.12
2022-02-14,-1.19
2022-02-15,1.08
2022-02-16,0.63
2022-02-17,-0.22
2022-02-18,0.84
2022-02-21,0.15
2022-02-22,-0.59
2022-02-23,0.85
2022-02-24,-1.48
2022-02-25,1.03
2022-03-01,0.48
2022-03-02,-0.77
2022-03-04,0.87
